Support_Year;Cluster;Timestep;Power_Demand_kW
0;0;114;82.471
0;0;115;83.674
0;0;116;82.816
0;0;117;75.133
0;0;118;67.236
0;0;119;40.051
0;0;120;18.89
0;0;121;21.302
0;0;122;19.23
0;0;123;19.221
0;0;124;17.906
0;0;125;18.701
0;0;126;21.776
0;0;127;61.177
0;0;128;68.58
0;0;129;49.433
0;0;130;50.955
0;0;131;46.573
0;0;132;47.952
0;0;133;61.175
0;0;134;58.734
0;0;135;48.127
0;0;136;49.306
0;0;137;60.065
0;0;138;78.816
0;0;139;70.461
0;0;140;73.079
0;0;141;56.957
0;0;142;70.845
0;0;143;40.193
0;0;144;16.649
0;0;145;20.916
0;0;146;19.2
0;0;147;19.012
0;0;148;19.016
0;0;149;18.933
0;0;150;22.165
0;0;151;58.021
0;0;152;53.952
0;0;153;50.245
0;0;154;44.56
0;0;155;43.651
0;0;156;45.316
0;0;157;59.808
0;0;158;57.623
0;0;159;48.26
0;0;160;54.876
0;0;161;56.285
0;0;162;61.855
0;0;163;74.505
0;0;164;75.637
0;0;165;71.567
0;0;166;63.412
0;0;167;50.47
0;1;0;16.763
0;1;1;17.892
0;1;2;18.353
0;1;3;19.991
0;1;4;21.049
0;1;5;19.563
0;1;6;26.057
0;1;7;40.093
0;1;8;60.865
0;1;9;64.839
0;1;10;61.129
0;1;11;53.857
0;1;12;52.06
0;1;13;57.414
0;1;14;58.452
0;1;15;50.397
0;1;16;60.324
0;1;17;55.497
0;1;18;54.288
0;1;19;73.578
0;1;20;73.7
0;1;21;70.329
0;1;22;58.006
0;1;23;41.519
0;1;24;17.033
0;1;25;22.962
0;1;26;19.109
0;1;27;19.443
0;1;28;18.48
0;1;29;20.301
0;1;30;25.054
0;1;31;49.862
0;1;32;60.478
0;1;33;53.815
0;1;34;52.588
0;1;35;43.748
0;1;36;42.093
0;1;37;50.23
0;1;38;48.461
0;1;39;44.694
0;1;40;54.569
0;1;41;61.044
0;1;42;58.963
0;1;43;65.332
0;1;44;77.275
0;1;45;65.547
0;1;46;56.193
0;1;47;56.054
0;1;48;17.665
0;1;49;19.433
0;1;50;18.81
0;1;51;18.246
0;1;52;22.32
0;1;53;19.955
0;1;54;24.447
0;1;55;49.846
0;1;56;47.804
0;1;57;46.15
0;1;58;43.74
0;1;59;40.508
0;1;60;41.084
0;1;61;40.198
0;1;62;50.588
0;1;63;47.314
0;1;64;50.552
0;1;65;46.183
0;1;66;57.231
0;1;67;60.604
0;1;68;77.337
0;1;69;64.027
0;1;70;58.409
0;1;71;39.712
0;1;72;17.553
0;1;73;19.72
0;1;74;19.438
0;1;75;18.504
0;1;76;18.562
0;1;77;23.894
0;1;78;21.902
0;1;79;27.42
0;1;80;30.01
0;1;81;35.494
0;1;82;36.17
0;1;83;38.244
0;1;84;35.505
0;1;85;40.699
0;1;86;40.226
0;1;87;33.412
0;1;88;46.745
0;1;89;36.401
0;1;90;51.357
0;1;91;64.757
0;1;92;67.966
0;1;93;64.396
0;1;94;58.339
0;1;95;49.996
0;1;96;16.783
0;1;97;18.711
0;1;98;22.833
0;1;99;19.229
0;1;100;18.228
0;1;101;19.633
0;1;102;19.604
0;1;103;36.294
0;1;104;54.144
0;1;105;51.254
0;1;106;51.898
0;1;107;64.064
0;1;108;58.338
0;1;109;58.036
0;1;110;67.313
0;1;111;52.702
0;1;112;65.548
0;1;113;66.989
0;1;114;54.354
0;1;115;70.136
0;1;116;71.854
0;1;117;59.689
0;1;118;53.321
