Support_Year;Cluster;Timestep;HP;EB
5;1;75;0.0;0.0
5;1;76;0.0;0.0
5;1;77;0.0;0.0
5;1;78;0.0;0.0
5;1;79;0.0;0.0
5;1;80;0.0;0.0
5;1;81;45.028;0.0
5;1;82;37.12;0.0
5;1;83;48.427;0.0
5;1;84;46.898;0.0
5;1;85;42.431;0.0
5;1;86;41.635;0.0
5;1;87;769.006;0.0
5;1;88;0.0;0.0
5;1;89;0.0;0.0
5;1;90;0.0;0.0
5;1;91;0.0;0.0
5;1;92;0.0;0.0
5;1;93;0.0;0.0
5;1;94;0.0;0.0
5;1;95;0.0;0.0
5;1;96;0.0;0.0
5;1;97;0.0;0.0
5;1;98;0.0;0.0
5;1;99;0.0;0.0
5;1;100;0.0;0.0
5;1;101;0.0;0.0
5;1;102;0.0;0.0
5;1;103;0.0;0.0
5;1;104;0.0;0.0
5;1;105;53.164;0.0
5;1;106;74.125;0.0
5;1;107;60.971;0.0
5;1;108;63.114;0.0
5;1;109;58.586;0.0
5;1;110;51.443;0.0
5;1;111;61.477;0.0
5;1;112;55.241;0.0
5;1;113;676.516;0.0
5;1;114;0.0;0.0
5;1;115;0.0;0.0
5;1;116;0.0;0.0
5;1;117;0.0;0.0
5;1;118;0.0;0.0
5;1;119;0.0;0.0
5;1;120;0.0;0.0
5;1;121;0.0;0.0
5;1;122;0.0;0.0
5;1;123;0.0;0.0
